1,Toy Story,Animation Children's Comedy
2,Jumanji,Adventure Children's Fantasy
3,Grumpier Old Men,Comedy Romance
4,Waiting to Exhale,Comedy Drama
5,Father of the Bride Part II,Comedy
6,Heat,Action Crime Thriller
7,Sabrina,Comedy Romance
8,Tom and Huck,Adventure Children's
9,Sudden Death,Action
10,GoldenEye,Action Adventure Thriller
11,American President The,Comedy Drama Romance
12,Dracula Dead and Loving It,Comedy Horror
13,Balto,Animation Children's
14,Nixon,Drama
15,Cutthroat Island,Action Adventure Romance
16,Casino,Drama Thriller
17,Sense and Sensibility,Drama Romance
18,Four Rooms,Comedy
19,Ace Ventura: When Nature Calls,Comedy
20,Money Train,Action Comedy Crime
21,Get Shorty,Comedy Crime Thriller
22,Copycat,Drama Thriller
23,Assassins,Action Thriller
24,Powder,Drama Sci-Fi
25,Leaving Las Vegas,Drama Romance
26,Othello,Drama
27,Now and Then,Drama
28,Persuasion,Drama Romance
29,City of Lost Children The,Adventure Sci-Fi
30,Shanghai Triad,Drama
31,Dangerous Minds,Drama
32,Twelve Monkeys,Sci-Fi
33,Wings of Courage,Adventure Romance
34,Babe,Children's Comedy Drama
35,Carrington,Drama Romance
36,Dead Man Walking,Drama
37,Across the Sea of Time,Documentary
38,It Takes Two,Children's Comedy
39,Clueless,Comedy Romance
40,Cry the Beloved Country,Drama
41,Richie Rich,Children's Comedy
42,Happy Gilmore,Comedy
43,Apollo 13,Drama
44,Batman Forever,Action Adventure Comedy Crime
45,Belle de jour,Drama
46,Casper,Children's Comedy
47,Clockers,Drama Thriller
48,Desperado,Action Romance Thriller
49,Doom Generation The,Drama
50,Free Willy 2: The Adventure Home,Adventure Children's
